car_id;car_class_id;team_id;driver_id;name;rating_old
72;473;-83874;233424;David Romero Filgueira;2571
72;473;-83874;321874;Adrian Ibanez Pizana;1534
72;473;-89261;-89261;Team Momentum eSports;0
72;473;-89261;101632;Aiden Browe;2230
72;473;-89261;309449;Karl JT Moore;2045
72;473;-89261;319947;Paul Webster3;2469
72;473;-89261;332312;Ian Boxell;1011
72;473;-89261;341375;Adam L Watson;1936
72;473;-89261;72639;Rence Brown;1543
93;100;-89895;-89895;Obsidian Racing FUTURE;0
93;100;-89895;242062;Octavio Araujo Pisco;2659
93;100;-89895;265204;Ruben Luque Nogales;2499
93;100;-89895;289538;Antonio Rodríguez;2241
93;100;-89895;313069;luis Tarifa;3881
70;77;-90451;-90451;HaCorp Motorsport I;0
70;77;-90451;173571;Uwe Seiler;2731
70;77;-90451;206615;Yannic Tschickardt;3531
70;77;-90451;226289;Tim Hellfeier;1448
70;77;-90451;227964;Luca Stormy;1451
70;77;-90451;239252;Sasha Ebel;1873
70;77;-90451;240215;Dominik Leiprecht;1675
93;100;-91048;-91048;CQR Club #117;0
93;100;-91048;109518;Jamie Rushworth3;3696
93;100;-91048;146086;Ben Palmer;1714
93;100;-91048;155689;Daniel McAuley;2319
93;100;-91048;156166;Daniel Craft;3827
93;100;-91048;180169;Stuart McPhaden;2329
70;77;-92868;-92868;Impact Racing #2;0
70;77;-92868;258698;Valentin Stieau;1804
70;77;-92868;271813;Daniel Orban;2003
70;77;-92868;273984;Godaert Sebastien;2237
70;77;-92868;298470;Thomas Gaudichon;1747
70;77;-92980;-92980;CATEGORY 5 Team Red;0
70;77;-93325;-93325;Band of Others Endurance - #000;0
70;77;-93325;175720;Marc Gammack;2376
70;77;-93325;180535;Nejtun Cameron;2274
70;77;-93325;217361;Jes Colman;1754
70;77;-93325;237357;Hans Mohr;2113
70;77;-93325;247808;Matthew A Holmes;1736
93;100;-98706;-98706;ACTION! Simsport- Team Triumph;0
93;100;-98706;245077;Zach Plummer;3719
93;100;-98706;261331;Rowan Gill;2208
93;100;-98706;280504;Dan Dracea;3107
93;100;-105231;-105231;Ether Sim Sport SR247 #3;0
93;100;-105231;253399;Robert Rattray;1869
93;100;-105231;290734;Simon Wright;1944
93;100;-105231;297219;Simon Avital;3335
93;100;-105231;303552;AJ Herrera;1817
72;473;-108189;-108189;NiTroX Virtual Team;0
72;473;-108189;262002;Julian Martinez Alcala;2285
72;473;-108189;283006;Francesc-Xavier Casado;2295
72;473;-108189;296890;Alejandro González pacheco;2335
72;473;-108189;298117;Samuel Morales Almunia;1441
73;473;-110418;-110418;EduRe;0
73;473;-110418;296606;Eimantas Sileikis;1861
73;473;-110418;333090;Andrius Sakalas;1408
73;473;-110418;69136;Justin Farmer;1932
73;473;-110418;98250;Diederik Marsman;1994
72;473;-112955;-112955;VRE Motorsport II;0
72;473;-112955;123023;Sebastian Kunze2;2018
72;473;-112955;320046;Tristan Bollwinkel;1543
72;473;-112955;96156;Kacper Kolodziejczyk;2903
72;473;-113580;-113580;Delta-V Racing;0
72;473;-113580;320559;JR Williams;2140
72;473;-113580;62914;Alan Hesebeck;2087
72;473;-113580;95054;Scott Gruber;1401
72;473;-113580;96868;Adam J Young;1149
72;473;-114007;-114007;Team Jace Merrick;0
72;473;-114007;294775;Jace Merrick;1953
72;473;-115460;-115460;SpeedTek Simsport Yellow;0
72;473;-115460;18353;Howard Fergerson Jr;2125
72;473;-115460;291232;Joshua Pendley;1903
72;473;-115460;47517;Bradley Skusa;1762
72;473;-116017;-116017;Sunshine Autos Motorsport Blue;0
72;473;-116017;123212;Ian Layne;2858
72;473;-116017;179850;Tanner McCullough;4003
72;473;-116017;279002;Ryley Downey;1854
72;473;-116017;283143;Bob Poplett;2015
72;473;-116017;283183;Karl Kask;2737
72;473;-116017;284653;Miguel Silva2;1862
72;473;-116644;-116644;Belgian Spirit Racing White;0
72;473;-116644;222060;Jonathan Albert;1906
72;473;-116644;263154;Ragonneaud Jonathan;2038
72;473;-116644;320585;Gilles Pierard;2215
93;100;-116706;-116706;Glowing Disc Motorsport GTE;0
93;100;-116706;128027;Martin Keren;2543
93;100;-116706;248111;Tim Koch;3564
93;100;-116706;327876;Marc B. Reichert;3612
93;100;-116706;88512;Sven Dreier;3233
70;77;-116852;-116852;Flatout Motorsports;0
70;77;-116852;142244;Michael Laraia;1288
70;77;-116852;144800;Joseph Theis;1758
70;77;-116852;175790;Adam DeBlasio;2272
70;77;-116852;216063;Eric DeBlasio;1411
70;77;-116885;-116885;DL Performance Endurance;0
70;77;-116885;164297;Jacob Fisher;1591
70;77;-116885;230418;Myatt Snider;884
70;77;-116885;33561;Austin Russell;2154
70;77;-116885;89197;Keith Y Sherman;2044
70;77;-117030;-117030;Can-Am Yellow;0
70;77;-117030;29502;Greg Netherwood;1315
70;77;-117030;33427;Mike King;1614
72;473;-117366;-117366;Combat Vets Racing;0
72;473;-117366;107642;Eric Stiles;1136
72;473;-117366;161240;Jacob Grube;4237
72;473;-117366;175088;Jason LaPan;961
93;100;-117550;-117550;Black Eagle Racing GT;0
93;100;-117550;255776;Jason Withrow;2844
93;100;-117550;323785;Paul Stanley2;2726
93;100;-117550;326157;Ivo Costa;3141
93;100;-117550;328773;Jonathon McCarthy;2064
70;77;-117732;-117732;Cuck Commanders;0
70;77;-117732;120198;Travis Brown;1008
70;77;-117732;133184;Kyle Vincent Gilbert;1477
70;77;-117732;190498;Harry Tiller;1649
70;77;-117732;86127;Michael Cosey Jr;1708
70;77;-117732;91485;Spencer Prete;2056
70;77;-117867;-117867;SWA Motorsports #51;0
70;77;-117867;112336;Alex W Bell;1816
70;77;-117867;244738;Jacob Plank;1114
70;77;-117867;293270;Yousuf Ghaly;1530
72;473;-118279;-118279;TCM ;0
72;473;-118279;320754;Lukas Gabler;2037
93;100;-12587;-12587;Hotlap Racing;0
93;100;-12587;145094;Marius Lederer;1325
93;100;-12587;16691;Thomas Nolden;1821
93;100;-12587;17538;Michael Hamann;3360
93;100;-12587;36051;Alexander Becker;1823
70;77;-13492;-13492;Vaillante Racing;0
70;77;-13492;126658;Pascal Dupas;1476
70;77;-13492;281042;Gilles Chatelain;1893
70;77;-13492;28391;Ronan Taugeron;4177
70;77;-13492;28906;Cédric Le Comte;1775
70;77;-13572;-13572;Can-Am Red;0
70;77;-13572;113433;Joshua Kotten;1772
70;77;-13572;25230;Bruce Perry;2068
70;77;-13572;66861;Miles Crabbe;2872
70;77;-13923;-13923;SRA Motorsports 1;0
70;77;-13923;105900;Austen Roberts;1428
70;77;-13923;124109;Tyler Ducharme;1750
70;77;-13923;28851;Ryan Hunte;2096
70;77;-13923;39842;Ryley Wyans;1717
70;77;-13923;52025;Justin Bolton;2417
93;100;-16803;-16803;Probatum Racing;0
93;100;-16803;254796;Miguel Carvalho2;2433
93;100;-16803;296526;Pedro Rebelo;2459
93;100;-16803;298399;Nuno Castro Pereira;2043
93;100;-16803;50580;Marco Pereira;1645
70;77;-20247;-20247;Western PA iRacing Yellow;0
70;77;-20247;167746;Matt Shinoski;1938
70;77;-20247;216199;Tim Shinoski;2577
70;77;-20247;218210;J R Shepherd;2248
70;77;-20247;286465;Kenny Kibbey;1376
70;77;-38252;-38252;Dynamic Autosports Endurance;0
70;77;-38252;119014;Samuel Roush;1250
70;77;-38252;140853;Alan Pajari;1764
70;77;-38252;142811;Colton Landes;3067
70;77;-38252;177900;Jake Champion;1331
70;77;-38252;94514;Joshua Campbell;1719
93;100;-39825;-39825;GTL-VRT RED;0
93;100;-39825;124138;Rafal Drzaszcz;3585
93;100;-39825;146907;DariuszD Szymecki;1970
93;100;-39825;187677;Alek Kowalski;1821
93;100;-39825;220231;Zbyszek Michalski;2045
102;100;-45686;-45686;SpeedWerx Racing Team East;0
102;100;-45686;108880;Sean McBeth;3501
102;100;-45686;16804;James Nance;4021
102;100;-45686;214826;Jorge A Flores;4880
102;100;-45686;218122;Dan Rivito;3758
102;100;-45686;228233;Jean-Marc Tremblay3;3400
70;77;-46775;-46775;Beast Racing;0
70;77;-46775;128331;Brock Hopkins;2374
70;77;-46775;155880;Ellis Davis;1748
70;77;-46775;225827;Taylor Lane;1489
70;77;-46775;47243;Mike A Taylor;1166
102;100;-47372;-47372;Simmortal - Green;0
102;100;-47372;105569;Nathaniel Simpson;2924
102;100;-47372;211116;Ronald Moons2;3081
102;100;-47372;57363;Michael Blake2;2200
92;100;-52347;-52347;SSRC 24H;0
92;100;-52347;103918;Nordin Mohamed Alba;3112
92;100;-52347;53805;Evaristo Martinez;1911
92;100;-52347;58300;Luis L Santos;3182
92;100;-52347;60890;Fernando Matamoros;1745
92;100;-52347;81537;Jesus Saez;3563
102;100;-53682;-53682;Koala E-Sport SimRacing #1;0
102;100;-53682;174988;Martin Voss;2058
102;100;-53682;208221;Simon Roer Husum;2526
102;100;-53682;221993;Morten Sterregaard-Feltsen;3505
70;77;-54333;-54333;Tango iRacing Team;0
70;77;-54333;135501;Bruno Tassone;1743
70;77;-54333;182770;Leandro A Vizzolini;2344
70;77;-54333;198911;Guillermo Martín González Díaz;1713
